Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
  3   5 (1,3)   0.09   0.52  0.052  0.985   28.1    no
  8   5 (0,1)   0.05   0.52  0.052  0.962   17.2    no
 11   8 (0,3)   0.31   0.52  0.052  0.940   19.3    no
  8   1 (1,2)   0.16   0.51  0.051  1.000    1.7    no
  8   5 (1,2)   0.04   0.51  0.051  0.954   29.6    no
  5   1 (0,3)   0.18   0.51  0.051  0.997    1.1    no
 10   5 (1,2)   0.17   0.51  0.051  0.998   10.4    no
  0   2 (1,3)   0.17   0.50  0.050  0.999   76.1    no
  0  11 (0,2)   0.07   0.50  0.050  0.977   33.3    no
  9   1 (1,3)   0.14   0.50  0.050  1.000    2.1    no
  5   1 (2,3)   0.10   0.50  0.050  0.991   17.4    no
 11   2 (0,2)   0.14   0.50  0.050  1.000    5.4    no
  3   4 (2,3)   0.12   0.50  0.050  0.998   26.4    no
  4   6 (0,1)   0.10   0.49  0.049  0.992   16.3    no
  8   9 (0,1)   0.07   0.49  0.049  0.975   20.6    no
  5  10 (0,3)   0.07   0.49  0.049  0.978   72.7    no
  4   4 (0,2)   0.15   0.49  0.049  1.000   25.7    no
  5   0 (2,3)   0.06   0.49  0.049  0.973    0.7    no
  0  10 (2,3)   0.20   0.49  0.049  0.991   42.9    no
  5  11 (1,3)   0.07   0.49  0.049  0.980  165.6    no
  7  11 (2,3)   0.10   0.49  0.049  0.991   26.6    no
 10   5 (0,2)   0.15   0.48  0.048  1.000    3.3    no
 11   7 (0,1)   0.12   0.48  0.048  0.997   16.1    no
  7   1 (1,3)   0.05   0.48  0.048  0.964   83.2    no
  7   6 (1,2)   0.35   0.48  0.048  0.888  106.9    no
  5   1 (0,1)   0.16   0.48  0.048  0.999    4.2    no
  6   3 (1,2)   0.12   0.48  0.048  0.997   14.6    no
  6  10 (0,3)   0.13   0.47  0.047  1.000    5.1    no
  6   0 (1,3)   0.10   0.47  0.047  0.993  158.9    no
  7   2 (1,2)   0.13   0.47  0.047  1.000    5.2    no
 10  11 (0,2)   0.14   0.47  0.047  1.000    2.0    no
  6   6 (1,3)   0.08   0.47  0.047  0.983  142.3    no
  4   6 (0,3)   0.14   0.47  0.047  1.000   25.1    no
  5   3 (0,1)   0.03   0.47  0.047  0.949  133.0    no
 11  10 (0,3)   0.16   0.47  0.047  0.998    0.1    no
  7   2 (0,2)   0.13   0.47  0.047  1.000    3.1    no
  0   8 (0,1)   0.43   0.46  0.046  0.805   18.1    no
  7  11 (1,2)   0.13   0.46  0.046  1.000    1.5    no
  9   1 (0,3)   0.13   0.46  0.046  1.000    0.7    no
 11   8 (1,2)   0.21   0.46  0.046  0.981    1.0    no
 10   8 (0,2)   0.10   0.46  0.046  0.995   12.1    no
  6   3 (0,1)   0.09   0.45  0.045  0.990   35.2    no
 10  11 (1,2)   0.13   0.45  0.045  1.000    0.1    no
  5   9 (0,2)   0.24   0.45  0.045  0.962   95.5    no
  8   0 (0,2)   0.16   0.45  0.045  0.998   18.4    no
  6   6 (1,2)   0.06   0.45  0.045  0.976  154.4    no
  6   8 (0,1)   0.15   0.45  0.045  0.999    2.7    no
  8   5 (2,3)   0.10   0.45  0.045  0.995   39.7    no
  6   6 (0,3)   0.10   0.45  0.045  0.995   56.5    no
 10   4 (1,3)   0.12   0.44  0.044  0.999    3.7    no
 11  10 (0,2)   0.16   0.44  0.044  0.998    7.1    no
  5   9 (1,2)   0.15   0.44  0.044  0.999   91.8    no
  6   6 (0,2)   0.03   0.44  0.044  0.955   25.4    no
  4   2 (0,3)   0.14   0.44  0.044  1.000  129.2    no
 10  11 (2,3)   0.12   0.44  0.044  1.000    0.5    no
  3   4 (1,3)   0.13   0.44  0.044  1.000   22.9    no
  4   8 (2,3)   0.09   0.43  0.043  0.992    6.8    no
  6   8 (1,2)   0.14   0.43  0.043  1.000    0.0    no
  0   9 (1,3)   0.23   0.43  0.043  0.962   85.2    no
  9   1 (2,3)   0.12   0.43  0.043  0.999    1.7    no
  7   2 (1,3)   0.11   0.43  0.043  0.999    1.7    no
  5   1 (0,2)   0.16   0.43  0.043  0.996   17.7    no
  5  10 (0,2)   0.10   0.43  0.043  0.995   48.8    no
  7   4 (0,3)   0.20   0.43  0.043  0.977   20.0    no
  6   5 (2,3)   0.07   0.43  0.043  0.981   45.1    no
  8   0 (2,3)   0.16   0.42  0.042  0.994   16.2    no
  4   6 (2,3)   0.17   0.42  0.042  0.993   14.6    no
 11  10 (0,1)   0.15   0.42  0.042  0.998    5.6    no
  0  10 (0,3)   0.22   0.42  0.042  0.964   25.9    no
 10   4 (0,3)   0.13   0.42  0.042  1.000    7.3    no
  6   7 (0,2)   0.10   0.42  0.042  0.995   15.5    no
  8   3 (1,2)   0.10   0.42  0.042  0.996    1.8    no
  6   6 (2,3)   0.05   0.42  0.042  0.975  112.2    no
  5   8 (1,3)   0.14   0.41  0.041  0.999   30.7    no
 11   2 (0,3)   0.13   0.41  0.041  1.000    2.3    no
  8   9 (0,2)   0.09   0.41  0.041  0.994    7.7    no
