file,condition,alpha,domain,metric,value,n,k_inferred,wilson_lo,wilson_hi,boot_lo,boot_hi,half_width
crowspairs_inlp_gpt2_gender_L10.csv,baseline,,profession,ss,61.627906976744185,172,106,54.18179440123243,68.5659695608421,54.06976744186046,68.6046511627907,7.267441860465119
crowspairs_inlp_gpt2_gender_L10.csv,baseline,,overall,ss,53.68663594470046,434,233,48.983543981452215,58.32503755081988,49.07834101382488,58.294930875576036,4.6082949308755765
crowspairs_inlp_gpt2_gender_L10.csv,inlp,,gender,ss,61.06870229007634,262,160,55.045254377549234,66.7722605643621,54.961832061068705,66.79389312977099,5.916030534351144
crowspairs_inlp_gpt2_gender_L10.csv,inlp,,profession,ss,63.372093023255815,172,109,55.95294943837877,70.20697911800696,56.380813953488385,70.34883720930233,6.984011627906973
crowspairs_inlp_gpt2_gender_L10.csv,inlp,,overall,ss,61.9815668202765,434,269,57.32830244833428,66.42458753155006,57.373271889400925,66.58986175115207,4.608294930875573
crowspairs_inlp_gpt2_race_L10.csv,baseline,,race,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_inlp_gpt2_race_L10.csv,baseline,,overall,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_inlp_gpt2_race_L10.csv,inlp,,race,ss,40.69767441860465,516,210,36.54273739500552,44.990093745899564,36.434108527131784,44.96124031007752,4.263565891472869
crowspairs_inlp_gpt2_race_L10.csv,inlp,,overall,ss,40.69767441860465,516,210,36.54273739500552,44.990093745899564,36.434108527131784,44.96124031007752,4.263565891472869
crowspairs_llama.csv,baseline,0.0,race,ss,50.968992248062015,516,263,46.664472367826136,55.25919105499626,46.70542635658915,55.23255813953488,4.263565891472865
crowspairs_llama.csv,baseline,0.0,profession,ss,66.86046511627907,172,115,59.52501144301894,73.45924630198914,59.883720930232556,73.83720930232558,6.97674418604651
crowspairs_llama.csv,baseline,0.0,gender,ss,54.19847328244275,262,142,48.148277661592566,60.12733145430483,48.091603053435115,60.30534351145038,6.106870229007633
crowspairs_llama.csv,baseline,0.0,religion,ss,74.28571428571429,105,78,65.173054142379,81.68409069249279,65.71428571428571,82.85714285714286,8.571428571428577
crowspairs_llama.csv,baseline,0.0,overall,ss,56.682464454976305,1055,598,53.67350343134197,59.642937743623115,53.74407582938389,59.62085308056872,2.9383886255924168
crowspairs_llama.csv,ensemble_K4,10.0,race,ss,41.47286821705426,516,214,37.30021837354443,45.77154350561857,37.2093023255814,45.73643410852713,4.263565891472865
crowspairs_llama.csv,ensemble_K4,10.0,profession,ss,72.09302325581395,172,124,64.96318233992193,78.25756918801969,65.11627906976744,79.06976744186046,6.97674418604651
crowspairs_llama.csv,ensemble_K4,10.0,gender,ss,56.87022900763359,262,149,50.81668771864369,62.72521810737024,50.76335877862596,62.59541984732825,5.9160305343511475
crowspairs_llama.csv,ensemble_K4,10.0,religion,ss,64.76190476190476,105,68,55.25114869310618,73.23064522612962,55.23809523809524,74.28571428571429,9.523809523809526
crowspairs_llama.csv,ensemble_K4,10.0,overall,ss,52.60663507109005,1055,555,49.589621684847884,55.60473480184063,49.66824644549763,55.63981042654028,2.9857819905213248
crowspairs_llama.csv,ensemble_K4,20.0,race,ss,35.27131782945737,516,182,31.27127022248181,39.4890457506179,31.2015503875969,39.34108527131783,4.069767441860465
